timestamp,buyVol,sellVol,buySellRatio,symbol
1772082000000,13189607.5000,14894911.8000,0.8855,XRPUSDT
1772085600000,9400894.2000,9264939.2000,1.0147,XRPUSDT
1772089200000,10543833.0000,13339153.0000,0.7904,XRPUSDT
1772092800000,13210127.6000,14342449.4000,0.9211,XRPUSDT
1772096400000,15913760.6000,11147552.5000,1.4276,XRPUSDT
1772100000000,17856550.3000,17918638.3000,0.9965,XRPUSDT
1772103600000,9059995.8000,10662697.7000,0.8497,XRPUSDT
1772107200000,12454186.8000,8881472.1000,1.4023,XRPUSDT
1772110800000,8497077.9000,7964609.7000,1.0669,XRPUSDT
1772114400000,28460071.0000,31584244.9000,0.9011,XRPUSDT
1772118000000,54065998.7000,52349512.5000,1.0328,XRPUSDT
1772121600000,38795072.2000,53446390.3000,0.7259,XRPUSDT
1772125200000,26765313.1000,24106354.9000,1.1103,XRPUSDT
1772128800000,29068869.9000,26234809.1000,1.1080,XRPUSDT
1772132400000,25871910.9000,20881961.8000,1.2390,XRPUSDT
1772136000000,10533953.3000,11717683.3000,0.8990,XRPUSDT
1772139600000,8460614.9000,8246097.4000,1.0260,XRPUSDT
1772143200000,6048585.2000,5691888.5000,1.0627,XRPUSDT
1772146800000,5438775.7000,5362097.8000,1.0143,XRPUSDT
1772150400000,10448072.2000,10799843.2000,0.9674,XRPUSDT
1772154000000,7864422.5000,11031601.0000,0.7129,XRPUSDT
1772157600000,7300215.4000,6996095.3000,1.0435,XRPUSDT
1772161200000,7526451.4000,6834309.1000,1.1013,XRPUSDT
1772164800000,18572016.6000,17451776.0000,1.0642,XRPUSDT
1772168400000,7045398.9000,7896281.2000,0.8922,XRPUSDT
1772172000000,9413792.9000,9691780.0000,0.9713,XRPUSDT
1772175600000,10403451.4000,6592125.7000,1.5782,XRPUSDT
1772179200000,13789654.2000,11620125.3000,1.1867,XRPUSDT
1772182800000,11185807.3000,13701872.5000,0.8164,XRPUSDT
1772186400000,23370438.2000,30869438.9000,0.7571,XRPUSDT
1772190000000,23571626.4000,22551519.6000,1.0452,XRPUSDT
1772193600000,19011858.6000,19757087.0000,0.9623,XRPUSDT
1772197200000,27447785.6000,29269770.9000,0.9378,XRPUSDT
1772200800000,25444922.6000,30158169.6000,0.8437,XRPUSDT
1772204400000,52730414.7000,35050453.4000,1.5044,XRPUSDT
1772208000000,18254090.2000,21293142.1000,0.8573,XRPUSDT
1772211600000,23051981.8000,27969974.2000,0.8242,XRPUSDT
1772215200000,12262776.7000,12514646.3000,0.9799,XRPUSDT
1772218800000,11007168.3000,10358392.8000,1.0626,XRPUSDT
1772222400000,9905674.1000,10235387.0000,0.9678,XRPUSDT
1772226000000,7283163.8000,6454762.0000,1.1283,XRPUSDT
1772229600000,10955330.5000,12029877.7000,0.9107,XRPUSDT
1772233200000,8148412.5000,8107895.6000,1.0050,XRPUSDT
1772236800000,7954832.9000,7989230.4000,0.9957,XRPUSDT
1772240400000,5469580.7000,5499086.9000,0.9946,XRPUSDT
1772244000000,4134908.8000,3218322.7000,1.2848,XRPUSDT
1772247600000,5149292.7000,7594991.7000,0.6780,XRPUSDT
1772251200000,5384362.0000,7287742.1000,0.7388,XRPUSDT
1772254800000,4388705.4000,6612277.6000,0.6637,XRPUSDT
1772258400000,57277116.5000,83899741.5000,0.6827,XRPUSDT
1772262000000,59844321.4000,60798744.0000,0.9843,XRPUSDT
1772265600000,33021562.7000,38191363.2000,0.8646,XRPUSDT
