open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume,ignore
1772271000000,63842.2,63842.21,63728.57,63728.65,56.23319,3586577.8279426,16835,25.06879,1598729.9070984,1772271299999,56.23319
1772271300000,63728.65,63736.35,63557.89,63647.63,59.25812,3772032.800497,19738,24.39324,1552454.8946214,1772271599999,59.25812
1772271600000,63647.62,63660.51,63587.05,63623.58,26.05965,1658122.4996082,10977,15.13677,963066.5565544,1772271899999,26.05965
1772271900000,63623.58,63665.87,63543.98,63580.94,49.2242,3130602.3950624,19231,23.49333,1494276.5599652,1772272199999,49.2242
1772272200000,63580.93,63726.23,63574.94,63706.69,42.72737,2720572.5723731,14962,31.28616,1992046.2638417,1772272499999,42.72737
1772272500000,63706.69,63708.02,63638.68,63658.54,30.04561,1913122.1198624,9503,17.48082,1112986.321467,1772272799999,30.04561
1772272800000,63658.55,63658.55,63452.64,63473.66,100.13574,6362761.2457206,19090,25.02732,1590808.7256852,1772273099999,100.13574
1772273100000,63473.67,63582.95,63473.66,63555.08,82.48632,5241670.772343,16477,51.03648,3242975.502597,1772273399999,82.48632
1772273400000,63555.08,63574.25,63504.96,63565.53,40.72895,2588202.5371607,12309,17.52632,1113736.3828147,1772273699999,40.72895
1772273700000,63565.53,63752.76,63528.8,63751.37,175.14645,11154337.5068687,16025,85.48637,5443816.3909419,1772273999999,175.14645
1772274000000,63751.38,64050.61,63732.93,63923.49,650.0599,41534426.6281495,28147,413.46854,26417687.0884771,1772274299999,650.0599
1772274300000,63923.49,64053.93,63808.0,63844.2,217.95491,13936753.8083409,18588,110.67927,7078145.8686666,1772274599999,217.95491
1772274600000,63846.23,64053.62,63842.77,64013.74,126.48335,8091703.552904,27674,67.96715,4348364.3648077,1772274899999,126.48335
1772274900000,64013.75,64031.11,63967.57,64002.36,74.91803,4794765.8194615,13390,31.49369,2015626.1399837,1772275199999,74.91803
1772275200000,64002.36,64020.27,63945.64,63952.01,28.74203,1838814.1729835,9139,12.68771,811807.4138068,1772275499999,28.74203
1772275500000,63952.01,63960.84,63889.46,63953.81,29.18754,1865723.6834224,12071,15.65528,1000731.9105397,1772275799999,29.18754
1772275800000,63953.82,64019.75,63880.0,63948.5,40.7305,2604395.993281,14065,20.09429,1285049.425392,1772276099999,40.7305
1772276100000,63948.5,64029.21,63915.17,64010.39,66.8534,4277333.914712,10794,27.02134,1728667.3253701,1772276399999,66.8534
1772276400000,64010.38,64221.0,63966.0,64156.89,143.31203,9190604.0391621,22742,96.48963,6188308.3184959,1772276699999,143.31203
1772276700000,64156.89,64164.26,64046.53,64054.85,70.12923,4494813.5983764,12325,25.9576,1663559.9836465,1772276999999,105.52082599999999
1772277000000,64054.86,64138.0,64047.78,64089.45,41.40758,2653724.8569635,9625,26.09433,1672252.2441819,1772277299999,104.7795455
1772277300000,64089.45,64102.24,64040.0,64061.53,52.60428,3369867.7096002,10108,29.69055,1902028.4805846,1772277599999,104.4468535
1772277600000,64061.53,64184.0,64061.52,64123.07,54.00291,3463320.2826003,10977,26.23675,1682559.0975596,1772277899999,105.8440165
1772277900000,64123.08,64307.26,64092.2,64250.89,130.49469,8376875.5563582,17495,84.06827,5395709.4879866,1772278199999,109.907541
1772278200000,64250.9,64307.44,64179.0,64184.01,154.64225,9933451.232198,13953,65.21057,4189359.5164511,1772278499999,115.503285
1772278500000,64184.02,64184.02,64048.45,64048.46,86.80776,5567912.9309067,12997,33.32328,2136901.8446622,1772278799999,118.34139250000001
